지역,각종요금_전철료(성인 카드),각종요금_전철료(성인 현금),각종요금_시내버스료(성인 카드),각종요금_시내버스료(성인 현금),각종요금_택시료(중형),각종요금_도매요금,각종요금_소매요금,보통휘발유,자동차용경유
강원도,0,0,1469,1661,3800,10031,1878,1588.217353,1503.163456
경기도,0,0,1450,1500,4800,10031,831,1601.12,1523.37
경상남도,0,0,1219,1286,4706,10031,1631,1580.7,1494.61
경상북도,0,0,1297,1382,4000,10031,1416,1567.2,1477.86
광주,1250,1400,1250,1400,4300,10031,575,1561.22,1474.73
대구,1250,1400,1250,1400,4000,10031,1293,1562.18,1476.68
대전,1250,1400,1250,1400,4300,10031,719,1531.7,1447.63
부산,1450,1550,1550,1700,4800,10031,1198,1553.17,1483.67
서울,1400,1500,1500,1500,4800,10031,669,1559.62,1463.99
울산,0,0,1500,1600,4000,10031,954,1575.6,1497.68
인천,1400,1500,1470,1570,4800,10031,856,1548.98,1460.14
전국,0,0,1300,1300,4800,10031,1000,1555.36,1480.9
전라남도,0,0,1123,1130,4818,10031,1557,1594.87,1512.64
전라북도,0,0,1107,1157,4700,10031,1215,1572.81,1489.14
제주특별자치도,0,0,1150,1200,4100,10031,3034,1607.42,1503.65
충청남도,0,0,1423,1527,3973,10031,1535,1589.99,1511.71
충청북도,0,0,1400,1500,4000,10031,1361,1593.6,1507.44
