지역,인당소비_민간소비지출액(천원),인당소득_1인당 지역내총생산,인당소득_1인당 지역총소득,인당소득_1인당 개인소득,인당소득_1인당 민간소비,물가_가공식품,물가_생활용품,물가_신선식품
강원도,21277,40713,37509,23326,21277,5424.3,10513.7,5273.8
경기도,22878,43070,47899,25696,22878,5376.2,10762.6,5189.1
경상남도,21756,42144,38879,22769,21756,5412,10619.9,5287
경상북도,21078,48812,41091,22921,21078,5405,10525.6,5259.1
광주,23096,35452,38019,25378,23096,5361.3,11305.7,5226.1
대구,22307,30985,34344,23760,22307,5443.3,10665.1,5270.5
대전,23355,36645,40976,26493,23355,5432.5,10789.3,5266.4
부산,23042,34762,35373,24026,23042,5429,10922.6,5105.3
서울,27767,58255,65994,29372,27767,5272.9,10919.1,4786.4
울산,23345,81235,60576,28102,23345,5370.2,10942.1,5177.4
인천,21661,38840,41203,24665,21661,5448.5,10402.5,5284.2
전국,23202,46491,47306,25536,23202,5384.065,10669.695,5953.5575
전라남도,20332,55513,44838,24604,20332,5295.7,10606.6,5223.1
전라북도,20394,36283,36239,24157,20394,5415.8,10397.8,5259.3
제주특별자치도,23595,38450,36307,22893,23595,5341.9,11340.9,8930
충청남도,20949,64709,49838,23647,20949,5427.3,10517.8,5274.5
충청북도,20999,54214,45499,24667,20999,5429.8,10363.9,5284.2
