기준지역,소비_소득_비율
강원도 강릉시,0.912158107
강원도 고성군,0.912158107
강원도 동해시,0.912158107
강원도 삼척시,0.912158107
강원도 속초시,0.912158107
강원도 양구군,0.912158107
강원도 양양군,0.912158107
강원도 영월군,0.912158107
강원도 원주시,0.912158107
강원도 인제군,0.912158107
강원도 정선군,0.912158107
강원도 철원군,0.912158107
강원도 춘천시,0.912158107
강원도 태백시,0.912158107
강원도 평창군,0.912158107
강원도 홍천군,0.912158107
강원도 화천군,0.912158107
강원도 횡성군,0.912158107
경기도 가평군,0.890333126
경기도 고양시 덕양구,0.890333126
경기도 고양시 일산동구,0.890333126
경기도 고양시 일산서구,0.890333126
경기도 과천시,0.890333126
경기도 광명시,0.890333126
경기도 광주시,0.890333126
경기도 구리시,0.890333126
경기도 군포시,0.890333126
경기도 김포시,0.890333126
경기도 남양주시,0.890333126
경기도 동두천시,0.890333126
경기도 부천시,0.890333126
경기도 성남시 분당구,0.890333126
경기도 성남시 수정구,0.890333126
경기도 성남시 중원구,0.890333126
경기도 수원시 권선구,0.890333126
경기도 수원시 영통구,0.890333126
경기도 수원시 장안구,0.890333126
경기도 수원시 팔달구,0.890333126
경기도 시흥시,0.890333126
경기도 안산시 단원구,0.890333126
경기도 안산시 상록구,0.890333126
경기도 안성시,0.890333126
경기도 안양시 동안구,0.890333126
경기도 안양시 만안구,0.890333126
경기도 양주시,0.890333126
경기도 양평군,0.890333126
경기도 여주시,0.890333126
경기도 연천군,0.890333126
경기도 오산시,0.890333126
경기도 용인시 기흥구,0.890333126
경기도 용인시 수지구,0.890333126
경기도 용인시 처인구,0.890333126
경기도 의왕시,0.890333126
경기도 의정부시,0.890333126
경기도 이천시,0.890333126
경기도 파주시,0.890333126
경기도 평택시,0.890333126
경기도 포천시,0.890333126
경기도 하남시,0.890333126
경기도 화성시,0.890333126
경상남도 거제시,0.955509684
경상남도 거창군,0.955509684
경상남도 고성군,0.955509684
경상남도 김해시,0.955509684
경상남도 남해군,0.955509684
경상남도 밀양시,0.955509684
경상남도 사천시,0.955509684
경상남도 산청군,0.955509684
경상남도 양산시,0.955509684
경상남도 의령군,0.955509684
경상남도 진주시,0.955509684
경상남도 창녕군,0.955509684
경상남도 창원시 마산합포구,0.955509684
경상남도 창원시 마산회원구,0.955509684
경상남도 창원시 성산구,0.955509684
경상남도 창원시 의창구,0.955509684
경상남도 창원시 진해구,0.955509684
경상남도 통영시,0.955509684
경상남도 하동군,0.955509684
경상남도 함안군,0.955509684
경상남도 함양군,0.955509684
경상남도 합천군,0.955509684
경상북도 경산시,0.919593386
경상북도 경주시,0.919593386
경상북도 고령군,0.919593386
경상북도 구미시,0.919593386
경상북도 군위군,0.919593386
경상북도 김천시,0.919593386
경상북도 문경시,0.919593386
경상북도 봉화군,0.919593386
경상북도 상주시,0.919593386
경상북도 성주군,0.919593386
경상북도 안동시,0.919593386
경상북도 영덕군,0.919593386
경상북도 영양군,0.919593386
경상북도 영주시,0.919593386
경상북도 영천시,0.919593386
경상북도 예천군,0.919593386
경상북도 울릉군,0.919593386
경상북도 울진군,0.919593386
경상북도 의성군,0.919593386
경상북도 청도군,0.919593386
경상북도 청송군,0.919593386
경상북도 칠곡군,0.919593386
경상북도 포항시 남구,0.919593386
경상북도 포항시 북구,0.919593386
전라남도 강진군,0.826369696
전라남도 고흥군,0.826369696
전라남도 곡성군,0.826369696
전라남도 광양시,0.826369696
전라남도 구례군,0.826369696
전라남도 나주시,0.826369696
전라남도 담양군,0.826369696
전라남도 목포시,0.826369696
전라남도 무안군,0.826369696
전라남도 보성군,0.826369696
전라남도 순천시,0.826369696
전라남도 신안군,0.826369696
전라남도 여수시,0.826369696
전라남도 영광군,0.826369696
전라남도 영암군,0.826369696
전라남도 완도군,0.826369696
전라남도 장성군,0.826369696
전라남도 장흥군,0.826369696
전라남도 진도군,0.826369696
전라남도 함평군,0.826369696
전라남도 해남군,0.826369696
전라남도 화순군,0.826369696
전라북도 고창군,0.844227346
전라북도 군산시,0.844227346
전라북도 김제시,0.844227346
전라북도 남원시,0.844227346
전라북도 무주군,0.844227346
전라북도 부안군,0.844227346
전라북도 순창군,0.844227346
전라북도 완주군,0.844227346
전라북도 익산시,0.844227346
전라북도 임실군,0.844227346
전라북도 장수군,0.844227346
전라북도 전주시 덕진구,0.844227346
전라북도 전주시 완산구,0.844227346
전라북도 정읍시,0.844227346
전라북도 진안군,0.844227346
제주특별자치도 서귀포시,1.030664395
제주특별자치도 제주시,1.030664395
충청남도 계룡시,0.885905189
충청남도 공주시,0.885905189
충청남도 금산군,0.885905189
충청남도 논산시,0.885905189
충청남도 당진시,0.885905189
충청남도 보령시,0.885905189
충청남도 부여군,0.885905189
충청남도 서산시,0.885905189
충청남도 서천군,0.885905189
충청남도 아산시,0.885905189
충청남도 예산군,0.885905189
충청남도 천안시 동남구,0.885905189
충청남도 천안시 서북구,0.885905189
충청남도 청양군,0.885905189
충청남도 태안군,0.885905189
충청남도 홍성군,0.885905189
충청북도 괴산군,0.851299307
충청북도 단양군,0.851299307
충청북도 보은군,0.851299307
충청북도 영동군,0.851299307
충청북도 옥천군,0.851299307
충청북도 음성군,0.851299307
충청북도 제천시,0.851299307
충청북도 증평군,0.851299307
충청북도 진천군,0.851299307
충청북도 청주시 상당구,0.851299307
충청북도 청주시 서원구,0.851299307
충청북도 청주시 청원구,0.851299307
충청북도 청주시 흥덕구,0.851299307
충청북도 충주시,0.851299307
