지역,삶의 만족도
서울특별시 종로구,0.4437
서울특별시 중구,0.4976
서울특별시 용산구,0.6161
서울특별시 성동구,0.4729
서울특별시 광진구,0.4041
서울특별시 동대문구,0.5842
서울특별시 중랑구,0.1058
서울특별시 성북구,0.6382
서울특별시 강북구,0.0461
서울특별시 도봉구,0.2171
서울특별시 노원구,0.624
서울특별시 은평구,0.3242
서울특별시 서대문구,0.605
서울특별시 마포구,0.6487
서울특별시 양천구,0.6845
서울특별시 강서구,0.3646
서울특별시 구로구,0.4386
서울특별시 금천구,0.1707
서울특별시 영등포구,0.6637
서울특별시 동작구,0.6413
서울특별시 관악구,0.2257
서울특별시 서초구,0.9259
서울특별시 강남구,0.7945
서울특별시 송파구,0.7575
서울특별시 강동구,0.3796
부산광역시 중구,0.0225
부산광역시 서구,0.3044
부산광역시 동구,0.0361
부산광역시 영도구,0.2273
부산광역시 부산진구,0.4239
부산광역시 동래구,0.6437
부산광역시 남구,0.5531
부산광역시 북구,0.3065
부산광역시 해운대구,0.6314
부산광역시 사하구,0.1104
부산광역시 금정구,0.5369
부산광역시 강서구,0.4799
부산광역시 연제구,0.6428
부산광역시 수영구,0.3467
부산광역시 사상구,0.0903
부산광역시 기장군,0.4374
대구광역시 중구,0.4445
대구광역시 동구,0.31
대구광역시 서구,0.0049
대구광역시 남구,0.0828
대구광역시 북구,0.3459
대구광역시 수성구,0.77
대구광역시 달서구,0.3832
대구광역시 달성군,0.5706
인천광역시 중구,0.3637
인천광역시 동구,0.3377
인천광역시 연수구,0.045
인천광역시 남동구,0.6497
인천광역시 부평구,0.2927
인천광역시 계양구,0.2794
인천광역시 서구,0.1531
인천광역시 미추홀구,0.3435
인천광역시 강화군,0.6697
인천광역시 옹진군,0.9803
광주광역시 동구,0.6127
광주광역시 서구,0.314
광주광역시 남구,0.5694
광주광역시 북구,0.4756
광주광역시 광산구,0.4507
대전광역시 동구,0.156
대전광역시 중구,0.2935
대전광역시 서구,0.5377
대전광역시 유성구,0.9046
대전광역시 대덕구,0.1461
울산광역시 중구,0.3973
울산광역시 남구,0.4764
울산광역시 동구,0.3986
울산광역시 북구,0.534
울산광역시 울주군,0.5536
세종특별자치시 세종시,0.9077
경기도 수원시,0.509
경기도 성남시,0.7403
경기도 의정부시,0.1031
경기도 안양시,0.6081
경기도 부천시,0.2592
경기도 광명시,0.5261
경기도 평택시,0.1617
경기도 동두천시,0.0158
경기도 안산시,0.1039
경기도 고양시,0.4211
경기도 과천시,0.9464
경기도 구리시,0.3452
경기도 남양주시,0.3529
경기도 오산시,0.1828
경기도 시흥시,0.2386
경기도 군포시,0.7367
경기도 의왕시,0.6721
경기도 하남시,0.7569
경기도 용인시,0.7721
경기도 파주시,0.3401
경기도 이천시,0.6505
경기도 안성시,0.123
경기도 김포시,0.4879
경기도 화성시,0.616
경기도 광주시,0.2806
경기도 양주시,0.1382
경기도 포천시,0.1591
경기도 여주시,0.2904
경기도 연천군,0.7871
경기도 가평군,0.0473
경기도 양평군,0.8345
강원도 춘천시,0.7609
강원도 원주시,0.4546
강원도 강릉시,0.7219
강원도 동해시,0.293
강원도 태백시,0.8928
강원도 속초시,0.3815
강원도 삼척시,0.3434
강원도 홍천군,0.8491
강원도 횡성군,0.7133
강원도 영월군,0.4233
강원도 평창군,0.4107
강원도 정선군,0.7114
강원도 철원군,0.7473
강원도 화천군,0.1183
강원도 양구군,0.9673
강원도 인제군,0.8607
강원도 고성군,0.8228
강원도 양양군,0.6788
충청북도 충주시,0.5397
충청북도 제천시,0.1741
충청북도 청주시,0.2927
충청북도 보은군,0.7442
충청북도 옥천군,0.2521
충청북도 영동군,0.6728
충청북도 진천군,0.1609
충청북도 괴산군,0.7749
충청북도 음성군,0.2534
충청북도 단양군,0.137
충청북도 증평군,0.5093
충청남도 천안시,0.3811
충청남도 공주시,0.7134
충청남도 보령시,0.6059
충청남도 아산시,0.4038
충청남도 서산시,0.3056
충청남도 논산시,0.6694
충청남도 계룡시,0.9917
충청남도 당진시,0.3596
충청남도 금산군,0.4792
충청남도 부여군,0.4139
충청남도 서천군,0.9854
충청남도 청양군,0.4972
충청남도 홍성군,0.6116
충청남도 예산군,0.5722
충청남도 태안군,0.3065
전라북도 전주시,0.6024
전라북도 군산시,0.5116
전라북도 익산시,0.3869
전라북도 정읍시,0.1245
전라북도 남원시,0.783
전라북도 김제시,0.598
전라북도 완주군,0.9652
전라북도 진안군,0.9947
전라북도 무주군,0.0871
전라북도 장수군,0.9946
전라북도 임실군,0.7008
전라북도 순창군,0.8283
전라북도 고창군,0.5407
전라북도 부안군,0.3969
전라남도 목포시,0.307
전라남도 여수시,0.6723
전라남도 순천시,0.5973
전라남도 나주시,0.7826
전라남도 광양시,0.4098
전라남도 담양군,0.7329
전라남도 곡성군,0.0302
전라남도 구례군,0.9492
전라남도 고흥군,0.5679
전라남도 보성군,0.999
전라남도 화순군,0.8555
전라남도 장흥군,0.6137
전라남도 강진군,0.3273
전라남도 해남군,0.5089
전라남도 영암군,0.2035
전라남도 무안군,0.4075
전라남도 함평군,0.9695
전라남도 영광군,0.3123
전라남도 장성군,0.9096
전라남도 완도군,0.2788
전라남도 진도군,0.0692
전라남도 신안군,0.5456
경상북도 포항시,0.503
경상북도 경주시,0.3157
경상북도 김천시,0.8159
경상북도 안동시,0.2933
경상북도 구미시,0.1863
경상북도 영주시,0.8414
경상북도 영천시,0.2007
경상북도 상주시,0.8776
경상북도 문경시,0.6702
경상북도 경산시,0.1061
경상북도 군위군,
경상북도 의성군,0.0052
경상북도 청송군,0.6998
경상북도 영양군,0.5081
경상북도 영덕군,0.166
경상북도 청도군,0.9963
경상북도 고령군,1
경상북도 성주군,0.8362
경상북도 칠곡군,0.0689
경상북도 예천군,0.9988
경상북도 봉화군,0.0471
경상북도 울진군,0.2297
경상북도 울릉군,0.6826
경상남도 진주시,0.7447
경상남도 통영시,0.0595
경상남도 사천시,0.2914
경상남도 김해시,0.2581
경상남도 밀양시,0.524
경상남도 거제시,0.2734
경상남도 양산시,0.4128
경상남도 창원시,0.3101
경상남도 의령군,0.9962
경상남도 함안군,0.2892
경상남도 창녕군,0.6515
경상남도 고성군,0.4098
경상남도 남해군,0.3203
경상남도 하동군,0.6993
경상남도 산청군,0.9355
경상남도 함양군,0.9565
경상남도 거창군,0.6163
경상남도 합천군,0.8057
제주특별자치도 제주시,0.7113
제주특별자치도 서귀포시,0.7113
