지역,총시설수
서울특별시 종로구,198
서울특별시 중구,166
서울특별시 용산구,256
서울특별시 성동구,432
서울특별시 광진구,326
서울특별시 동대문구,470
서울특별시 중랑구,596
서울특별시 성북구,548
서울특별시 강북구,408
서울특별시 도봉구,524
서울특별시 노원구,756
서울특별시 은평구,572
서울특별시 서대문구,376
서울특별시 마포구,432
서울특별시 양천구,694
서울특별시 강서구,714
서울특별시 구로구,580
서울특별시 금천구,276
서울특별시 영등포구,546
서울특별시 동작구,438
서울특별시 관악구,440
서울특별시 서초구,384
서울특별시 강남구,484
서울특별시 송파구,594
서울특별시 강동구,428
부산광역시 중구,84
부산광역시 서구,206
부산광역시 동구,204
부산광역시 영도구,222
부산광역시 부산진구,616
부산광역시 동래구,376
부산광역시 남구,420
부산광역시 북구,440
부산광역시 해운대구,634
부산광역시 사하구,480
부산광역시 금정구,350
부산광역시 강서구,382
부산광역시 연제구,314
부산광역시 수영구,228
부산광역시 사상구,320
부산광역시 기장군,682
대구광역시 중구,52
대구광역시 동구,184
대구광역시 서구,162
대구광역시 남구,150
대구광역시 북구,210
대구광역시 수성구,128
대구광역시 달서구,182
대구광역시 달성군,120
인천광역시 중구,88
인천광역시 동구,46
인천광역시 미추홀구,224
인천광역시 연수구,186
인천광역시 남동구,372
인천광역시 부평구,272
인천광역시 계양구,236
인천광역시 서구,446
인천광역시 강화군,116
인천광역시 옹진군,16
광주광역시 동구,336
광주광역시 서구,650
광주광역시 남구,702
광주광역시 북구,1068
광주광역시 광산구,1010
대전광역시 동구,178
대전광역시 중구,144
대전광역시 서구,226
대전광역시 유성구,130
대전광역시 대덕구,130
울산광역시 중구,242
울산광역시 남구,376
울산광역시 동구,158
울산광역시 북구,348
울산광역시 울주군,938
경기도 수원시,1482
경기도 성남시,1098
경기도 의정부시,874
경기도 안양시,718
경기도 부천시,1232
경기도 광명시,306
경기도 평택시,1612
경기도 동두천시,378
경기도 안산시,1022
경기도 고양시,1752
경기도 과천시,80
경기도 구리시,382
경기도 남양주시,1730
경기도 오산시,400
경기도 시흥시,930
경기도 군포시,388
경기도 의왕시,286
경기도 하남시,430
경기도 용인시,2232
경기도 파주시,1206
경기도 이천시,958
경기도 안성시,1142
경기도 김포시,962
경기도 화성시,1798
경기도 광주시,718
경기도 양주시,828
경기도 포천시,862
경기도 여주시,788
경기도 연천군,266
경기도 가평군,408
경기도 양평군,904
강원특별자치도 춘천시,1050
강원특별자치도 원주시,1220
강원특별자치도 강릉시,1028
강원특별자치도 동해시,326
강원특별자치도 태백시,260
강원특별자치도 속초시,266
강원특별자치도 삼척시,542
강원특별자치도 홍천군,492
강원특별자치도 횡성군,498
강원특별자치도 영월군,406
강원특별자치도 평창군,396
강원특별자치도 정선군,374
강원특별자치도 철원군,284
강원특별자치도 화천군,202
강원특별자치도 양구군,204
강원특별자치도 인제군,182
강원특별자치도 고성군,246
강원특별자치도 양양군,300
충청북도 청주시,2746
충청북도 충주시,1304
충청북도 제천시,832
충청북도 보은군,616
충청북도 옥천군,694
충청북도 영동군,784
충청북도 증평군,284
충청북도 진천군,658
충청북도 괴산군,734
충청북도 음성군,904
충청북도 단양군,372
충청남도 천안시,1920
충청남도 공주시,954
충청남도 보령시,880
충청남도 아산시,1248
충청남도 서산시,908
충청남도 논산시,1184
충청남도 계룡시,100
충청남도 당진시,808
충청남도 금산군,770
충청남도 부여군,1014
충청남도 서천군,756
충청남도 청양군,644
충청남도 홍성군,818
충청남도 예산군,852
충청남도 태안군,518
전라북도 전주시,1588
전라북도 군산시,1258
전라북도 익산시,1664
전라북도 정읍시,1540
전라북도 남원시,1074
전라북도 김제시,1368
전라북도 완주군,1012
전라북도 진안군,718
전라북도 무주군,568
전라북도 장수군,580
전라북도 임실군,758
전라북도 순창군,774
전라북도 고창군,1260
전라북도 부안군,1002
전라남도 목포시,944
전라남도 여수시,1516
전라남도 순천시,1820
전라남도 나주시,1394
전라남도 광양시,786
전라남도 담양군,864
전라남도 곡성군,702
전라남도 구례군,650
전라남도 고흥군,1402
전라남도 보성군,974
전라남도 화순군,1036
전라남도 장흥군,898
전라남도 강진군,718
전라남도 해남군,1342
전라남도 영암군,1070
전라남도 무안군,948
전라남도 함평군,838
전라남도 영광군,868
전라남도 장성군,724
전라남도 완도군,672
전라남도 진도군,628
전라남도 신안군,906
경상북도 포항시,140
경상북도 경주시,74
경상북도 김천시,116
경상북도 안동시,76
경상북도 구미시,112
경상북도 영주시,70
경상북도 영천시,60
경상북도 상주시,58
경상북도 문경시,52
경상북도 경산시,142
경상북도 군위군,12
경상북도 의성군,44
경상북도 청송군,14
경상북도 영양군,14
경상북도 영덕군,12
경상북도 청도군,36
경상북도 고령군,24
경상북도 성주군,22
경상북도 칠곡군,68
경상북도 예천군,18
경상북도 봉화군,12
경상북도 울진군,10
경상북도 울릉군,6
경상남도 창원시,2538
경상남도 진주시,1306
경상남도 통영시,604
경상남도 사천시,800
경상남도 김해시,1292
경상남도 밀양시,948
경상남도 거제시,762
경상남도 양산시,740
경상남도 의령군,620
경상남도 함안군,738
경상남도 창녕군,872
경상남도 고성군,730
경상남도 남해군,582
경상남도 하동군,814
경상남도 산청군,742
경상남도 함양군,880
경상남도 거창군,944
경상남도 합천군,1078
제주특별자치도 제주시,910
제주특별자치도 서귀포시,416
